,titre,style,genre,synopsis
0,One Piece,Shônen,Pirate,"One piece nous raconte l'histoire de Monkey D. Luffy , un jeune pirate rêveur qui alors qu'il était enfant a accidentellement mangé le fruit du démon Gomu Gomu. [...]"
1,Death Note,Shônen,Police,"Light Yagami , jeune étudiant japonais de 17 ans surdoué qui juge le monde tel qu'il est, criminel, corrompu et noyé dans l'injustice, trouve un beau jours, par hasard [...]"
2,Naruto,Shônen,Ninja,"Le manga Naruto nous raconte l'histoire d'un garçon sans amis, vivant dans le village caché de Konoha, village de ninja du pays du feu. En effet le garçon et en fait [...]"
3,Fairy Tail,Shônen,Combat,Le manga Fairy tail nous raconte l'histoire de Lucy une jeune femme magicienne rêvant d'aventure fabuleuse. Mais dans ce monde il vaut mieux intégrer une guilde. Elle [...]
4,l'Attaque Des Titans,Shônen,Survie,"Shingeki no Kyojin aussi appelé L'Attaque des Titans est l'un des mangas phares du Shonen Magazine, il a débuté en 2009 et nous raconte l'histoire d'un [...]"
5,FullMetal Alchemist,Shônen,Aventure,"Le manga Fullmetal Alchemist nous raconte l'histoire de deux frères, Edward (aîné) et Alphonse (cadet) Elric.
Les enfants sont orphelins suite à l'abandon de [...]"
6,Dragon Ball,Shônen,Action,"Le manga Dragon Ball maintenant incontournable commence avec la rencontre de Bulma , une jeune aventurière au cheveux violet et de Sangoku et enfant orphelin possédant une mystérieuse queue de [...]"
7,Bleach,Shônen,Exorciste,"Ichigo Kurosaki est un lycéen pouvant voir les esprits des morts qui n'ont pas encore trouvés le repos éternel. Un jour, une jeune femme du nom de Rukia Kuchiki va [...]"
8,Black Butler,Shônen,Fantastique,"Le comte Ciel Phantomhive , jeune limier de la reine d’Angleterre à assisté à la mort de ses parents et à l'incendie du manoir familial alors qu'il était très jeune. Depuis ce jour il ne [...]"
9,Hunter X hunter,Shônen,Aventure,Le manga Hunter X Hunter nous raconte l'histoire de Gon un enfant vivant seul depuis de nombreuse année. En effet son père un Hunter célèbre est parti à l'aventure en le laissant derrière [...]
10,Assassination classroom,Shônen,Tueur,"Le manga Assassination Classroom nous raconte l'histoire de Koro-sensei, un professeur tout à fait particulier et de ses élèves... En effet, il possède plusieurs [...]"
11,Tokyo ghoul,Seinen,Fantastique,"Tokyo ghoul se déroule dans la ville de Tokyo, laquelle est en proie à des monstres cachés dans l'ombre, les ghouls. D'apparence humaine elle profite de la [...]"
12,Vampire Knight,Shôjo,Vampire,"Meru Puri a suscité l’enthousiasme, Vampire Knight déchaîne les passions. Comme les élèves de la classe de jour au moment de l’arrivée des [...]"
13,Berserk,Seinen,Heroic fantasy,"Berserk est un des mangas incontournable de la dark fantasy. L'histoire nous raconte la dramatique vie de Guts un ténébreux chevalier noir borgne, portant une immense [...]"
14,Blue Exorcist,Shônen,Exorciste,"Bleu Exocist est un shonen, le personnage qui se trouve être le fils de Satan se nomme Rin Okumura. Il se fait élever dans un monastère avec son frère jumeau Yukio par un [...]"
15,One-Punch Man,Seinen,Action,"One Punch-man est à la base une webcomic dessinée et écrite par ONE , il a été ensuite repris et adapté en manga par le dessinateur Yūsuke Murata [...]"
